ti_nome,municipio
Paquiçamba,SENADOR JOSÉ PORFÍRIO
Parabubure,ÁGUA BOA
Parabubure,NOVA XAVANTINA
Parabubure,CAMPINÁPOLIS
Paracuhuba,AUTAZES
Parakanã,ITUPIRANGA
Parakanã,NOVO REPARTIMENTO
Paraná do Arauató,ITACOATIARA
Parana do Boa Boa,JAPURÁ
Parana do Boa Boa,SANTA ISABEL DO RIO NEGRO
Parana do Paricá,MARAÃ
Parati-Mirim,PARATY
Paresi,TANGARÁ DA SERRA
Parque do Araguaia,LAGOA DA CONFUSÃO
Parque do Araguaia,PIUM
Parque do Araguaia,FORMOSO DO ARAGUAIA
Parque do Aripuanã,VILHENA
Parque do Aripuanã,JUÍNA
Parque do Tumucumaque,ALMEIRIM
Parque do Tumucumaque,LARANJAL DO JARI
Parque do Tumucumaque,ALENQUER
Parque do Tumucumaque,ÓBIDOS
Parque do Tumucumaque,ORIXIMINÁ
Parque do Xingu,QUERÊNCIA
Parque do Xingu,SÃO JOSÉ DO XINGU
Parque do Xingu,SÃO FÉLIX DO ARAGUAIA
Parque do Xingu,GAÚCHA DO NORTE
Parque do Xingu,NOVA UBIRATÃ
Parque do Xingu,PARANATINGA
Parque do Xingu,CANARANA
Parque do Xingu,MARCELÂNDIA
Parque do Xingu,FELIZ NATAL
Passo Grande do Rio Forquilha,SANANDUVA
Passo Grande do Rio Forquilha,CACIQUE DOBLE
Patauá,AUTAZES
Paukalirajausu,VILA BELA DA SANTÍSSIMA TRINDADE
Paukalirajausu,NOVA LACERDA
Paumari do Cuniua,TAPAUÁ
Paumari do Lago Manissuã,TAPAUÁ
Paumari do Lago Marahã,LÁBREA
Paumari do Lago Paricá,TAPAUÁ
Paumari do Rio Ituxi,LÁBREA
Peguaoty,SETE BARRAS
Peneri/Tacaquiri,PAUINI
Pequizal,NOVA LACERDA
Pequizal do Naruvôtu,GAÚCHA DO NORTE
Pequizal do Naruvôtu,CANARANA
Perigara,BARÃO DE MELGAÇO
Peruíbe,PERUÍBE
Piaçaguera,PERUÍBE
Pilad Rebuá,MIRANDA
Pimentel Barbosa,CANARANA
Pimentel Barbosa,RIBEIRÃO CASCALHEIRA
Pinatuba,MANICORÉ
Pindoty,ARAQUARI
Pindoty,BALNEÁRIO BARRA DO SUL
Pindoty/Araçá-Mirim(Tekoha Pindoty),CANANÉIA
Pindoty/Araçá-Mirim(Tekoha Pindoty),IGUAPE
Pindoty/Araçá-Mirim(Tekoha Pindoty),PARIQUERA-AÇU
Pinhal,SEARA
Pinhalzinho,TOMAZINA
Pipipã,INAJÁ
Pipipã,PETROLÂNDIA
Pipipã,TACARATU
Pipipã,FLORESTA
Pirahã,HUMAITÁ
Piraí,ARAQUARI
Pirajuí,PARANHOS
Pirakua,BELA VISTA
Pirakua,PONTA PORÃ
Pirineus de Souza,COMODORO
Piripkura,COLNIZA
Piripkura,RONDOLÂNDIA
Pirititi,RORAINÓPOLIS
Pitaguary,MARACANAÚ
Pitaguary,PACATUBA
Pium,ALTO ALEGRE
Ponciano,AUTAZES
Ponciano,CAREIRO DA VÁRZEA
Ponta da Serra,AMAJARI
Ponte de Pedra,NOVA MARINGÁ
